text,label,score
Swearing is seriously so cool like there's certain words you can say that just make you feel better,pos,0.7946
New season of Samurai Jack tonight and I've never been more excited in my life,neg,-0.3078
Thanks Mono. for following me! I hope you enjoy my content :),pos,0.906
I wrote it for the lulz,pos,0.4588
everybody going through something i dont feel sorry for anyone,neu,0.0572
I love that exterior design,pos,0.6369
One weekend I'm actually gonna be the one turning up till then the shorties keep it lit…,neu,0.0
this is totally a little you lol,pos,0.4186
The NBA schedule has given teams more headaches despite less back-to-backs -,neu,0.0
The administration went rogue in that moment.,neu,0.0
"next you'll tell us how you have many ""black"" friends, too...",pos,0.4767
if not you need to get on to about it,neu,0.0
I don't have the patience and I was getting baked out there,neu,0.0
Lmaooo got your ass,neg,-0.5423
"YES! won't watch Get Out with me cus she's not about thrillers, so I'm going one a date with another important woman... my mom",pos,0.6653
"I don't hate much teachers, but there's one I'd really like to fucking murder",neg,-0.5108
"okay, i'm sleepy again",pos,0.2263
I'm connecting front the built-in twitter browser on iPhone. Maybe it is faster from desktop.,neu,0.0
say hi to the gators for me,neu,0.0
thanks for the recent follow. Much appreciated :) (Want this? It's FREE! ),pos,0.9263
I'm a Steelers' fan too.,pos,0.3182
I added a video to a playlist Gamer Central Music Star Trek Beyond Theme on Guitar,neu,0.0
and Toronto won so rip the Islanders,pos,0.5719
I Be In My Zone Once I Start Riding To A Song For A Song I Like,pos,0.3612
.im tired of you being a victim.I Was Fired..just say i respect our Presidents decision &amp; support 100%,pos,0.4404
This time we lost but more nominations and awards will come. I'm so proud of us.,pos,0.8816
"Silences Crowd, Finishes In The 2nd!",neu,0.0
finding the best memes today:),pos,0.6369
"you can't be ever slipping, you gota show you different.",neu,0.0
Disneyland needs to learn what the happiest place on earth means.,pos,0.6369
Damn I was supposed to stop by Nutrizone today,neg,-0.5994
I swear if kim flakes.......,neu,-0.0516
"out and I was running out I looked at my crush, she smiled, I knew I must've impressed her so I had to make it look like",pos,0.8176
The Best Home Remedies To Get Instant Relief --,pos,0.8074
Nobody can bring you peace but yourself. -Ralph Waldo Emerson,pos,0.3071
The Incredible HULK! 68 Stone 6ft 3in Monster &gt;&gt;,neu,0.0
"you call it the Irish Goodbye, I call it the I Never Wanted To Be Here In The First Place See You In Hell",neg,-0.6808
it's too much free information on YouTube and the internet to pay for it.,pos,0.4404
do you like mexican? because i'll wrap you in my arms and make you my baerito haha,pos,0.6705
Even if I hit you once you part of my collection,neu,0.0
I'm earning in Learn n Earn: Cricket.,neu,0.0
I'm working on just being a better me.,pos,0.4404
A Sunday morning breakfast of Oats and Black Coffee. And reading the newspaper. No patients critical in the ICU is Bliss.,neu,0.0516
Reason 1-infinity why I'm low on the Pels moving forward even with cousins in the fold...,neg,-0.2732
Doctors Reveal The Best Way To Attack A --,pos,0.2732
"I'm a fan of Natural Druidry on GoRead,",pos,0.5859
Can you guess?? You'll never guess!!,neu,0.0
"For the second year in a row, takes third overall in state",neu,0.0
yea I guess but that game is unplayable now,neu,0.0
When you get a certain picture from someone that wasn't suppose to go to you,pos,0.2732
Hiii :) ️starvo the deep️ (Octopus_Angel),pos,0.4588
Congratulations to the Sequoyah Girls on winning State,pos,0.8074
Understatement coach! Best in the country!,pos,0.6988
No names .. the famous Russian pole vaulter ?!!! : O !!!!,neg,-0.5216
It's my first time in the middle of the MegaSport and it was pretty good!,pos,0.75
Russia Deploys Troops Around Moscow To Protect The --,pos,0.3818
me in the store,neu,0.0
but the $5 a day roaming would have activated right?,neu,0.0
*sits on you*,neu,0.0
"oryt po,thank you.",neu,0.0
"my concept different, If I am buying Aspirin. I has to be Aspirin 110%. Or its fake.",neg,-0.4767
"omgee i'm dead, but it's true!",pos,0.3274
"The reviews flooding in a positive. Getting lost, fantastic quests- horizon seems to have it all.",pos,0.7096
I love Ms. Mansour's idea for helping students: via,pos,0.7506
I only have two looks either mess or masterpiece,pos,0.3818
Why does play the entirety of AM every Saturday night without fail. We get it Arctic Monkeys are a thing.,pos,0.6428
with a pompous attitude like he has I don't blame Trump for firing him,pos,0.2815
you assume Manny was willing to sign an extension then.,neu,0.0
the entire GOP is covering this up,neu,0.0
fuck you girl version free short movie sex,neu,-0.0516
"(that's a joke, I'm a horrible goalie)",neg,-0.3182
"Why does every sad boy in the past two weeks and i can get, even postmortem.",neg,-0.4767
The Most Bizarre Stories From Doctors About Their &gt;&gt;,neg,-0.3804
Some girls are in denial and will get mad at every girl but not her own boyfriend...smh,neg,-0.2732
RAPMON_PH : RT happeesy: Send me all your Questions here so I can in… ),neu,0.0
After 20+ years officiating Teddy Valentine still watches the ball instead of officiating his area. There are 3 officiate for a reason.,neu,0.0
Roughhhh night to say the least smh,pos,0.2411
It's so natural for me to avoid all things temporary that I don't realize that I'm doing it until I am,pos,0.1513
7 People Who Cheated Death By Surviving The &gt;&gt;,neg,-0.7184
"My alter ego name is ""Jas Monae' "" ( I didn't pick my name )",neu,0.0
I'm going for 81 points tonight,neu,0.0
Russia Deploys Troops Around Moscow To Protect The --,pos,0.3818
Road trip time with the family to Laguna.,neu,0.0
Stand strong Because haters can't bring you down.,neu,0.0258
Funny how straight I see when I'm bent,pos,0.5859
"Not the same, unless we were getting back two hours of sleep in the fall",neu,0.0
Any and everything hurts my feelings,neg,-0.4767
I honestly wish I had a bestfriend that is actually willing to stay in my life and not replace me...,pos,0.6908
I liked a video from Makeup Minute| DIY Diamond Glow Mist,pos,0.6369
i was broke af i ain't have nothing at all,neg,-0.4215
You are too good to me Jake :),pos,0.7096
adfhsdgj whats the drama with these two annoying asses,neg,-0.4019
Introvert,neu,0.0
"Me? Jealous? Never experienced that emotion, don't know the feeling.",neg,-0.5761
this is the C U T E ST,neu,0.0
"If it is a push mower, you don't drop the blade, you lower the wheels",neu,-0.0992
YEEEEEAAAH!! I LOVE U BABY,pos,0.6988
I laugh so hard everytime I see this Gd tweet,pos,0.4417
lots of the reviews of their stuff i read were like this iS GROUNDBREAKING and its just... kinda quirky? idgi,pos,0.3612
Ever seen d senate worried about sumtn important? Answer: NO,neg,-0.516
"I played the Sandy Caps mini game in Paradise Island 2, and my score was: 142",pos,0.765
Im in love with you body ∆,pos,0.6369
I'm earning in Vayda.,neu,0.0
When an essay is due at 4am and the time change makes you lose an hour of working on it,neg,-0.4019
sounds like I need to fly down the coast next year,pos,0.3612
WHERES THE PROMISED DAB,pos,0.3612
Racism and bullying,neg,-0.8402
YOU WIN!!!!!!!!!,neu,0.0
This whole weekend has been the biggest rip of my life,neu,0.0
get the fuck of our page you fucking leach. Go suck jds cock you fucking Fag,neg,-0.8923
finally found the perf past time,neu,0.0
"I so need to get caught up , I am so far behind and apparently missing alot.",neg,-0.296
I have the hugest headache ever,neu,0.0
Beware If You Find Rubber Band At Your &gt;&gt;,neu,0.0
"""how you say you shooting with no gun""🤔",neg,-0.296
"Might not have ended the way he wanted, but no one can question his heart as a husky. Thank you best of luck at the next level.",pos,0.9052
can you swing on him please,pos,0.3182
Beautiful,pos,0.5994
Good morning coders! I'm all set up. Time to get to work! Have a good one!,pos,0.7701
The best things in life are free. The second best are very expensive. NadineOn ASAPMarSorpresa,pos,0.9136
"As much as I want to complain about resistance for not getting cut, the real reason was that I went heavy slam &gt; eq on gigalith",neg,-0.4563
Would you ever be a cheerleader — i used to be lol,pos,0.5719
"oh Ms. Sabrina, i forgot to inform you that you didn't birth all the seventeen kids yourself",neu,0.0
The new era will begin soon,neu,0.0
"Why do I always get the shifts where the president of the company walks in unannounced. Chill dude, give me space.",neu,0.0
Everyone's turnt on snap chat and I'm over here watching rugrats with my dog smh,neg,-0.3182
I added a video to a playlist Seether - Broken ft. Amy Lee,neg,-0.4767
is the bestttttttt,neu,0.0
Playing My Victory by Crowder from the album American Prodigal (Deluxe Edition),pos,0.2023
Nope also didn't say that.,neu,0.0
If your friends don't invite you to smoke are they really your friends ?,pos,0.6962
Hey! You see a young girl?,neu,0.0
And the private system costs 5 times more and doesn't cover everyone and has long ER lines. Which is better? Spayer,pos,0.4404
It's all about finding that someone who makes you forget about yourself,neg,-0.2263
Should I have gone to the ER for this? via /r/medical,neu,0.0
Ed Sheeran or The Weeknd? — I no understand,neg,-0.296
Gostei de um vídeo do Daddy Yankee Shaky Shaky Remix | Behinds the scene | Free Style By MaggaBraco,pos,0.128
"Either Love Like You Give A Sh*t, Or Be Alone — Your Choice.",pos,0.6908
"this little boy is the cutest thing ever, holy crap",pos,0.296
Troop - All I Do Is Think Of You via,neu,0.0
I asked Corey to cut my grilled cheese into 4's and he hands me this. What kind of nonsense is this mess?,neg,-0.7645
omg I love you more,pos,0.6369
Love this Borderlands inspired Tesla,pos,0.8126
where are you?,neu,0.0
I really just broke my retainer. FUCK MAN !!!!,neg,-0.8583
Sitting far away in California I Can feel the optimism &amp; confidence in Happy people of UP,pos,0.8885
I hate youuuu.,neg,-0.5719
so I need to kill that nigga,neg,-0.7152
And Farage meeting Assange and the Turkey Netherlands madness all in the same week isn't some random shite is it?,neg,-0.4404
I posted a new video to Facebook,neu,0.0
Sometimes I'm up sometimes I'm down these niggas change they ain't around,neg,-0.34
who let the dog chained,neu,0.0
I just checked in at Carolinas Cantina with Download today!,neu,0.0
"I voted for Trump because he said he would not sell out or ""drain the swamp"" He ...? Check answers",neu,0.0
i really need to do something with my life and stop watching them do something with theirs I NEED TO STOP DREAMIN…,neg,-0.6289
I've yet to come across a biased algorithm that wasn't the result of biased data.,neg,-0.4939
"Exactly why the Jets need to stay the hell away from Cutler, I wanna lose games in peace lol",neg,-0.25
"Found a Transponder Snail! ""I'll never forget you!!"" Local cook sets sail!",pos,0.428
"The ABC app has Flash Forward available, in case you were wondering.",neu,0.0
"Yeah you're missing the bigger picture. Democrats right, Republicans wrong. Don't get uppity.",neg,-0.4767
I want to meet you for a bad cause,neg,-0.4939
I don't think I'd run I think I'd cry and try to fight it,neg,-0.6908
I'm so jealous !,neg,-0.5551
"Probably within the last two years. I did see the form to fill out, so I’ll do that. Thanks!",pos,0.4926
"as we sit motionless in the parking garage long after the shuttles have gone, only now do we see the true power of The Villages.",pos,0.4215
Love this performance and also how engaged the other judges were.,pos,0.7845
everybody that I know performed at the Aloha Fest today while I was working a birthday party and now I don't even know if can go tomorrow,pos,0.4019
A lot of people artists say give up on contouring &amp; just do strobing from now on. I never liked contouring so yay.,pos,0.3315
i'm so bummed the bridgit mendler show and meet and greet I was going to got cancelled but now I can go to the united game instead,pos,0.5927
ms van thank you.. wonderful morning,pos,0.7351
I am an innocent victim,neu,0.0772
i'm too turnt rnnnn,neu,0.0
Crash Creates Golden Opportunity Learn the strategy beh…,pos,0.296
What did you get for trading back?,neu,0.0
HZD with live now on Twitch! Fueled by Bluvos! …,neu,0.0
"I love everybody. I just want them to make good choices. Except . See you never, hobo.",pos,0.8126
I'm earning Rewards with !,pos,0.5255
i love you thank you you're a wonderful bud!!!,pos,0.9057
New Zealander Daniel Pearce is the clubhouse leader on -15 but another Kiwi Michael Hendry leads at -19 w/ 6 holes…,neu,0.0
"I know you heard all about me see me on TV, instagram bitch I'm poppin",neg,-0.5859
sup pretty boi I miss u too️,pos,0.3818
I need backup!Battle ID: 9C24E3B0 Lvl 100 Xeno Vohu Manah,neu,0.0
"YOU TAKE US FOR FUCKING GRANTED, LIKE WHAT THE FUCK.",pos,0.1459
If you wanna know the truth you gotta go straight to the source🤷‍️,pos,0.4939
Mfs keeping tryna spend me 🤦‍️🤦‍️🤦‍️this the second mf what type of Shit is this,neg,-0.5574
It's ALMOST time for the new Season of Samurai Jack!!!,neu,0.0
These Guys Had A Brilliant Idea! You Can &gt;&gt;,pos,0.6239
wow tonight I escaped and ran from Feds for the first time in my life. I'm a new woman. Everything has changed,pos,0.5859
I'm gonna need it to get warmer outside. Not colder. Thanks,pos,0.6249
"Dorkface mcdorkass, hence the name",neu,0.0
saran username rapmon? Thank you.,pos,0.3612
she really send the that and I cried apis. Freakin 3am hahahaha that's one in a million text thank u. I luv u guys 🦄,neu,-0.0258
I wanted to see play in the state final this year,pos,0.34
im looking at all the photos from todays film and discussion and i am either crying or looking starstruck af in every PHOTO OF ME OMG ;-;,neg,-0.4767
I'll host gtmv tonight. No one snatch the spotlight.,neg,-0.296
"Grandma Refused To Sell Her House, So The --",neg,-0.296
Niall Horan,neu,0.0
i hate you — me too,neg,-0.5719
I guess we will see!,neu,0.0
The most incredible colours at sunset. La Saline Les…,neu,0.0
I'm earning in mPLUS Places.,neu,0.0
lol you see my tweet yesterday. They're literally playing Franchise mode in madden better than I could.,pos,0.7579
"Barbie as the Island Princess (Sony PlayStation 2, 2007) BRAND NEW SEALED - NICE",pos,0.5473
Man I love wearing gloves for 90% of my day,pos,0.6369
"Perfect for a friend, spouse or child to join you for the ""catch"" RT",pos,0.8442
I have to take a 10 mins break right now but I leave at 7?,neu,-0.0772
"Join the Bob's Discount Furniture team! See our latest opening here: , NY",pos,0.3595
I can't believe ppl can disrespect the by smoking during a concert,neg,-0.4215
So the boomer is really to blame after all,neg,-0.3976
I've just unlocked Minimalistic Fun achievement in Paradise Island 2!,pos,0.8313
These Are The Highest Paid Sport Stars. You &gt;&gt;,neu,0.0
"i.e. MLK ""flouted"" the state in much the same was as or resistance against slavery. Unsure of your distinction.",neg,-0.7783
Gastelum for the win tonight he's got this,pos,0.5859
"I want you, baby. Solamente",neu,0.0772
estonya porn girl images in the uk sex pistols lyrics,neu,0.0
Retweeting all of the hilarious stuff going on lol,pos,0.6705
"Greetings. Allow me, to introduce you to my House &amp; Techno label on beatport.",pos,0.5719
Behind the scenes of Highspeed Saturday Night!! Join us live in less than 10 minutes!…,pos,0.4724
I hate driving,neg,-0.5719
Hello Friend! Do you want to see my personal photos?!Visit web site in my profile )) qo,pos,0.6229
Just beautiful RT : big tiddays are the perfect accessory for a turtleneck,pos,0.8225
